# V    B-V
13.270 0.600
13.242 0.596
13.257 0.573
13.275 0.582
13.243 0.594
13.259 0.619
13.285 0.575
12.570 0.600
12.538 0.593
12.533 0.589
12.555 0.575
12.542 0.592
13.260 0.570
13.233 0.566
13.261 0.570
13.235 0.573
13.247 0.567
10.480 1.100
10.493 1.085
13.510 0.570
13.480 0.573
13.512 0.560
13.480 0.576
11.280 0.130
11.267 0.131
17.628 0.293
10.530 0.570
10.544 0.570
10.533 0.572
10.491 0.578
10.990 0.110
10.962 0.165
10.949 0.101
12.756 0.592
12.755 0.568
12.253 0.623
13.308 0.631
13.015 0.750
12.800 0.450
12.784 0.487
12.816 0.457
12.803 0.463
12.808 0.589
12.823 0.610
12.819 0.560
12.811 0.564
12.677 0.684
12.677 0.695
12.674 0.668
10.550 1.130
10.550 1.120
10.549 1.129
10.533 1.123
10.538 1.114
12.868 0.603
12.930 0.940
12.934 0.917
12.908 0.924
12.900 0.918
14.038 0.533
13.329 0.495
13.315 0.485
13.305 0.482
14.110 0.630
14.115 0.640
14.125 0.618
14.104 0.619
14.102 0.621
9.680 1.360
9.690 1.360
9.656 1.344
13.148 0.597
13.136 0.582
13.113 0.573
12.110 1.006
11.837 0.895
12.710 0.600
12.725 0.587
12.713 0.580
12.694 0.589
12.692 0.587
13.709 0.601
12.650 0.590
12.650 0.574
12.625 0.571
13.076 0.564
13.078 0.560
14.020 0.610
14.030 0.608
14.031 0.607
14.018 0.603
13.698 0.635
12.650 0.590
12.664 0.598
12.657 0.572
12.635 0.584
12.770 0.830
12.777 0.822
12.769 0.806
12.752 0.819
12.650 0.630
12.648 0.617
12.646 0.605
12.632 0.613
13.290 0.573
12.270 0.220
12.257 0.260
12.259 0.236
12.243 0.250
11.100 0.190
11.063 0.190
11.098 0.189
11.066 0.224
13.864 0.660
13.198 0.620
13.213 0.614
13.209 0.614
13.197 0.618
13.700 0.540
13.717 0.547
13.696 0.517
13.696 0.543
13.689 0.527
12.870 0.540
12.909 0.534
12.872 0.519
12.856 0.528
12.850 0.524
10.950 0.220
10.940 0.220
10.946 0.227
10.929 0.247
13.186 0.559
12.826 0.775
12.230 0.993
12.267 0.981
13.620 0.600
13.663 0.585
13.616 0.592
13.608 0.585
12.690 0.720
12.722 0.683
12.684 0.696
14.001 0.617
13.939 0.583
13.748 0.605
13.213 0.600
13.198 0.566
11.103 0.850
14.020 0.650
14.044 0.619
13.986 0.626
14.017 0.618
12.600 0.600
12.562 0.593
12.589 0.583
12.591 0.583
13.037 0.667
13.799 0.629
13.450 0.550
13.333 0.564
13.416 0.538
13.551 0.569
12.911 1.000
12.278 0.385
13.214 0.556
14.114 0.600
14.131 0.610
14.087 0.600
13.730 0.660
13.673 0.660
13.719 0.656
13.719 0.653
12.260 0.580
12.219 0.567
12.248 0.563
12.249 0.564
13.754 0.597
13.824 0.562
13.786 0.579
15.786 0.677
13.850 0.600
13.794 0.590
13.841 0.583
13.820 0.581
13.763 0.592
13.806 0.575
13.800 0.582
13.786 0.570
12.760 0.580
12.779 0.560
12.690 0.564
12.710 0.570
11.330 1.070
11.266 1.076
11.250 1.071
11.630 1.050
11.637 1.050
11.622 1.037
12.514 0.598
12.562 0.581
14.079 0.658
12.368 0.581
12.413 0.562
13.629 0.659
10.580 1.100
10.760 1.130
10.761 1.135
13.079 0.559
13.098 0.548
13.067 0.536
12.750 0.758
12.774 0.742
12.934 0.919
12.959 0.914
12.947 0.892
13.220 0.567
13.176 0.535
13.338 0.575
13.354 0.568
13.336 0.550
13.584 0.594
13.567 0.549
11.520 1.050
11.495 1.053
11.490 1.032
13.534 0.540
13.371 0.572
13.316 0.581
11.260 0.620
13.381 0.572
13.370 0.554
12.505 0.663
12.906 0.970
14.047 0.602
12.729 0.577
12.684 0.558
12.647 0.581
10.780 0.940
13.505 0.630
13.419 0.445
12.809 0.603
13.448 0.613
13.303 0.459
14.136 0.514
12.688 0.622
13.904 0.637
13.388 0.577
12.705 0.575
12.716 0.518
12.690 0.569
11.721 0.510
14.093 0.689
13.898 0.700
14.100 0.549
10.600 0.340
12.920 0.983
12.920 0.983
13.960 0.612
12.429 0.618
10.550 1.100
12.790 0.584
13.355 0.577
13.151 0.572
12.699 0.561
13.414 0.567
13.410 0.582
13.220 0.604
13.833 0.615
13.094 0.749
13.762 0.581
14.036 0.615
10.700 0.110
12.889 0.817
13.457 0.514
13.517 0.536
15.649 0.876
15.556 0.895
15.559 0.855
16.025 1.077
15.991 1.082
15.828 1.016
15.861 1.012
15.829 1.031
12.647 0.685
11.570 0.680
11.240 1.100
12.988 0.540
14.741 0.649
14.689 0.720
15.256 0.617
12.629 0.594
15.561 0.698
15.051 0.775
12.940 0.540
15.368 0.501
15.475 0.679
15.352 0.622
14.493 0.582
13.594 0.560
13.469 0.557
15.750 0.900
15.761 0.904
15.731 0.684
15.673 0.846
15.732 0.864
16.210 0.640
16.179 0.631
16.161 0.681
16.174 0.638
16.417 1.022
16.143 1.006
16.347 1.097
16.393 1.067
17.100 1.150
17.026 1.221
17.690 1.360
17.598 1.355
17.805 1.391
17.590 1.566
17.632 1.414
19.640 1.920
20.340 1.640
20.399 1.440
20.020 1.410
20.200 1.270
20.550 1.530
20.250 1.480
20.590 1.860
21.100 1.320
20.950 1.460
21.190 0.630
20.660 0.260
21.260 0.910
21.150 2.350
20.830 1.400
20.950 1.530
20.700 1.590
20.750 0.850
20.640 1.310
20.417 1.231
21.110 1.570
21.440 1.420
20.970 0.970
