# V     B-V
19.7543 0.4145
19.4119 0.3933
17.6284 0.5752
19.0201 0.3856
18.4380 0.4232
19.5377 0.401
19.1042 0.3836
20.1798 0.5069
18.3424 0.3777
20.7391 -1.9436
18.4848 0.469
18.7075 0.3739
18.3893 0.4135
18.2664 0.4088
18.5284 0.4106
17.2014 0.6342
19.2796 0.5191
19.9806 0.625
20.1165 0.5201
19.4618 0.5547
19.9914 0.5276
18.9112 0.3826
19.0417 0.4328
18.8414 0.3768
18.3407 0.3662
18.2538 0.4299
17.8990 0.3885
18.2190 0.3913
19.1347 0.4328
19.2974 0.5257
16.1204 -0.1061
20.2805 0.5687
19.6139 0.5491
15.6654 0.7159
21.2905 -1.856
19.3929 0.4652
20.6000 0.5454
18.5504 0.3777
18.5292 1.5193
19.0212 0.4155
20.4262 -0.5398
19.4113 0.449
18.0890 0.4614
18.8848 0.3962
18.1468 0.4299
18.3227 0.4347
20.0324 0.636
18.6216 0.402
18.7782 0.4528
18.9808 0.469
19.6641 1.8658
19.0585 0.4059
19.0294 0.5276
18.7822 0.4155
17.7063 0.5817
19.3684 0.5266
18.6228 0.5556
14.7484 0.2636
19.3544 0.4833
18.7331 0.4184
19.8206 0.5163
18.5194 0.4097
18.0098 0.2053
19.6832 0.49
19.4025 0.4049
18.2122 0.4164
19.4515 0.4795
20.0902 0.4909
19.4492 1.7017
20.1478 0.4299
19.8604 0.4814
19.8964 0.5761
19.1274 0.4833
20.2119 0.8102
18.7651 0.3874
17.8439 0.5041
20.3257 0.614
18.9698 0.5097
18.7408 0.3651
17.9947 0.4719
19.8944 0.636
14.9258 0.8129
18.2750 0.4222
18.4771 0.3856
17.8174 0.4443
19.8735 1.59
19.3688 0.5079
20.5114 0.723
19.4858 1.6757
19.5949 0.4633
16.4649 0.6752
17.8572 0.49
20.0356 0.625
17.9611 0.4974
19.4253 0.4481
20.1498 0.9037
19.2577 0.5126
18.1045 0.3436
20.4437 0.6879
18.7163 0.3807
19.1372 0.4927
17.8317 0.5107
19.3402 0.5333
18.8978 0.3962
19.0086 0.4376
17.8010 0.4985
18.9335 0.4059
19.1216 0.4039
15.1579 0.7909
15.9892 0.7392
21.0289 -1.1439
16.6655 0.5687
15.0578 0.0221
18.3768 0.3339
18.7205 0.3729
18.8484 0.4097
19.0348 1.7982
18.0791 0.4193
17.7575 0.4405
18.5563 0.449
19.6188 0.4672
19.1531 0.4557
19.8546 0.4757
20.1757 0.6888
19.0608 0.4662
18.6378 0.4308
19.1639 1.749
19.6272 0.4909
