# V    B-V
21.887 0.214
21.739 0.435
20.703 0.365
20.590 0.136
22.553 0.492
20.671 0.248
21.589 0.168
22.596 0.310
21.340 0.358
21.192 0.318
20.647 0.360
21.239 0.462
21.323 0.391
21.358 0.401
21.208 0.625
21.469 0.364
22.051 0.511
19.111 0.924
20.569 0.224
22.155 0.382
21.075 0.435
19.968 0.388
21.999 0.651
21.734 0.586
22.280 0.432
22.571 0.549
23.046 -2.684
21.890 0.576
21.588 0.492
21.560 0.350
21.841 0.617
20.442 0.264
19.747 0.440
22.273 0.377
21.209 0.291
20.130 0.687
22.197 0.535
22.180 0.474
19.701 0.335
20.201 0.274
20.579 0.223
22.068 0.459
19.806 0.213
22.399 0.613
22.384 0.826
21.338 0.274
21.743 0.350
22.262 0.477
21.904 0.295
21.810 0.161
19.900 0.388
21.113 0.354
22.288 0.628
20.997 0.394
19.561 0.839
21.541 0.377
20.088 0.373
20.826 0.228
20.232 0.324
20.138 0.409
18.926 0.966
21.551 0.480
20.653 0.333
20.309 0.289
20.436 0.296
21.388 0.402
20.918 0.321
19.569 0.292
20.835 0.318
22.483 0.343
20.440 0.275
20.884 0.225
22.281 0.384
22.513 0.425
20.320 0.304
20.412 0.322
22.462 0.554
21.920 0.547
21.102 0.248
22.896 0.302
21.960 0.429
21.324 0.379
19.514 0.844
21.523 0.250
17.347 1.240
20.843 0.361
21.140 0.451
20.026 0.355
20.830 0.205
21.177 0.406
21.955 0.729
22.022 0.497
20.934 0.209
19.410 0.874
21.937 0.585
17.881 0.287
21.654 0.487
22.433 0.620
19.143 0.797
21.828 0.511
21.904 0.405
20.687 0.313
19.455 0.269
20.758 0.360
22.591 0.443
21.935 0.438
18.789 0.877
20.428 0.365
20.069 0.299
19.113 0.862
21.699 0.566
22.315 0.574
21.132 0.398
20.021 0.468
22.652 0.707
20.794 0.221
18.803 0.955
22.478 0.338
19.942 0.390
22.485 0.729
21.592 0.576
21.628 0.280
20.445 0.271
20.899 0.304
22.640 0.340
22.233 0.314
21.133 0.484
22.015 0.470
22.484 0.675
20.480 0.303
20.056 0.296
21.832 0.611
20.556 0.280
21.843 0.328
21.890 0.421
20.399 0.310
19.989 0.322
18.679 0.088
20.467 0.350
22.530 0.685
22.292 0.596
20.285 0.770
22.035 0.259
22.708 0.390
19.883 0.362
21.023 0.427
19.495 0.941
21.489 0.355
19.438 0.332
21.852 0.321
22.588 0.526
20.922 0.355
21.221 0.391
21.292 0.444
22.650 0.731
22.415 0.493
20.553 0.340
20.103 0.344
20.331 0.386
20.552 0.346
21.265 0.331
20.843 0.423
20.255 0.316
20.202 0.269
22.441 -1.241
22.004 0.288
22.653 0.676
19.183 0.831
19.088 0.955
20.715 0.288
20.167 0.303
21.866 0.487
22.021 0.282
21.620 0.395
20.903 0.317
20.507 0.325
21.586 0.520
21.290 0.520
21.438 0.347
21.957 0.429
20.364 0.416
22.591 0.632
19.000 0.899
20.599 0.485
21.395 0.440
22.649 0.566
19.947 0.280
20.603 0.255
22.413 0.640
19.907 0.375
20.898 0.429
22.444 0.527
20.657 0.277
20.525 0.427
21.910 0.493
18.974 0.824
19.939 0.386
22.108 0.246
22.798 0.593
22.003 0.435
21.979 0.316
20.949 0.324
22.365 0.289
21.828 0.485
20.231 0.362
22.081 0.533
22.250 0.465
20.784 0.325
21.322 0.489
21.862 0.275
